ID,Age,Age_Intervals,Education,Marital_Status,Income,Income_Intervals,Kidhome,Teenhome,LastPurchase,Recency_Intervals,Wines,Fruits,Meats,Fish,Sweets,Gold,total_purchases,DiscountPurchases,WebPurchases,CatalogPurchases,StorePurchases,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
4580,55,Middle-Aged,Graduate,Married,75759,other_income,0,0,46,31-60 days,1224.625,22,556,89,81,126.5,2099.125,1,9,7,9,5,1,0,1,1,0,0,1
1763,36,other,Graduate,Together,87679,other_income,0,0,62,61-90 days,1224.625,81,556,97,81,33,2072.625,1,7,10,10,4,1,0,1,1,0,0,1
5735,33,other,non_graduate,Single,90638,other_income,0,0,29,0-30 days,1156,81,556,94,81,96,2064,1,3,4,10,1,0,0,1,0,0,0,0
5350,33,other,non_graduate,Single,90638,other_income,0,0,29,0-30 days,1156,81,556,94,81,96,2064,1,3,4,10,1,0,0,1,0,0,0,1
10133,54,Middle-Aged,Graduate,Single,93790,other_income,0,0,16,0-30 days,1224.625,68,556,89,81,45,2063.625,0,6,7,12,2,0,1,1,1,0,0,1
4475,75,other,non_graduate,Married,69098,other_income,0,0,82,61-90 days,1224.625,22,556,120.5,0,126.5,2049.625,1,7,8,9,5,0,0,0,0,0,0,0
3403,66,Middle-Aged,non_graduate,Together,78952,other_income,0,1,11,0-30 days,1170,19,556,99,76,126.5,2046.5,2,2,5,12,6,0,0,0,0,0,0,0
5453,68,Middle-Aged,non_graduate,Married,90226,other_income,0,0,26,0-30 days,1083,81,556,120.5,81,108,2029.5,1,4,7,12,2,0,0,0,1,0,0,0
1173,77,other,non_graduate,Together,77632,other_income,0,0,73,61-90 days,1200,81,556,0,42,126.5,2005.5,1,4,2,6,2,0,1,1,0,0,0,1
5386,71,other,Graduate,Together,94384,other_income,0,0,62,61-90 days,1111,24,556,120.5,45,126.5,1983,0,5,8,5,2,0,1,1,1,0,0,1
6024,71,other,Graduate,Together,94384,other_income,0,0,62,61-90 days,1111,24,556,120.5,45,126.5,1983,0,5,8,5,2,0,1,1,1,0,0,1
6248,77,other,non_graduate,Single,91712,other_income,0,0,47,31-60 days,1224.625,24,556,94,29,48,1975.625,0,9,7,11,3,0,0,1,0,0,0,1
203,49,other,non_graduate,Single,81169,other_income,0,0,47,31-60 days,1224.625,20,556,80,61,27,1968.625,1,5,7,9,2,0,0,0,0,0,0,0
6421,63,Middle-Aged,Graduate,Together,88347,other_income,0,0,32,31-60 days,1050,81,555,77,81,118,1962,1,4,7,9,1,0,0,0,1,0,0,0
737,75,other,non_graduate,Married,80360,other_income,0,0,56,31-60 days,1224.625,81,454,112,43,43,1957.625,2,4,4,5,2,0,1,1,1,0,0,0
1772,49,other,non_graduate,Married,79174,other_income,0,0,2,0-30 days,1074,37,518,120.5,81,126.5,1957,1,5,6,7,2,0,0,1,1,0,0,1
3690,38,other,non_graduate,Married,80141,other_income,0,0,20,0-30 days,1184,81,556,52,40,40,1953,1,7,4,10,6,0,0,1,0,0,0,1
5236,45,other,Graduate,Together,77568,other_income,0,1,30,0-30 days,1224.625,0,396,120.5,81,126.5,1948.625,1,10,2,8,5,0,1,1,1,0,0,0
1553,78,other,Graduate,Together,82657,other_income,0,0,71,61-90 days,966,81,556,120.5,81,126,1930.5,1,7,5,10,4,0,1,0,1,0,0,0
