ID,Age,Age_Intervals,Education,Marital_Status,Income,Income_Intervals,Kidhome,Teenhome,LastPurchase,Recency_Intervals,Wines,Fruits,Meats,Fish,Sweets,Gold,total_purchases,DiscountPurchases,WebPurchases,CatalogPurchases,StorePurchases,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
5824,52,Middle-Aged,non_graduate,Together,34578,Medium,2,1,1,0-30 days,7,0,1,0,0,0,8,1,1,0,2,6,0,0,0,0,0,0,0
322,46,other,Graduate,Together,42554,Medium,1,1,93,More than 90 days,29,1,11,0,0,0,41,2,2,0,3,4,0,0,0,0,0,0,0
3075,52,Middle-Aged,non_graduate,Married,59973,Medium,0,0,47,31-60 days,130,30,168,20,34,0,382,1,3,4,7,1,0,0,0,0,0,0,0
6983,74,other,non_graduate,Divorced,38054,Medium,1,1,24,0-30 days,23,2,17,2,1,0,45,2,2,0,3,7,0,0,0,0,0,0,0
10609,62,Middle-Aged,non_graduate,Married,42769,Medium,0,1,15,0-30 days,71,0,13,3,1,0,88,2,1,1,4,4,0,0,0,0,0,0,0
2445,50,other,non_graduate,Together,28440,other_income,1,0,87,61-90 days,38,1,24,0,0,0,63,1,2,0,3,8,0,0,0,0,0,0,0
3783,65,Middle-Aged,non_graduate,Married,52854,Medium,1,1,43,31-60 days,105,0,10,0,1,0,116,2,2,1,4,5,0,0,0,0,0,0,0
7919,48,other,non_graduate,Together,72335,other_income,0,0,2,0-30 days,1224.625,81,556,28,21,0,1910.625,1,10,4,8,8,0,0,0,0,0,0,1
5547,42,other,non_graduate,Married,84169,other_income,0,0,9,0-30 days,1224.625,19,403,0,19,0,1665.625,1,7,6,6,3,0,1,1,0,0,0,1
8362,42,other,non_graduate,Married,84169,other_income,0,0,9,0-30 days,1224.625,19,403,0,19,0,1665.625,1,7,6,6,3,0,1,1,0,0,0,1
7875,75,other,Graduate,Married,72025,other_income,0,0,46,31-60 days,967,0,556,43,50,0,1616,1,4,8,13,2,0,1,1,1,0,0,1
3919,48,other,non_graduate,Single,72309,other_income,0,0,64,61-90 days,960,0,556,50,38,0,1604,1,5,6,8,3,0,0,0,1,0,0,1
9185,58,Middle-Aged,non_graduate,Single,69759,other_income,0,0,38,31-60 days,452,20,514,13,30,0,1029,3,4,6,5,3,0,0,0,0,0,0,1
6250,75,other,non_graduate,Widow,54356,Medium,0,1,62,61-90 days,710,15,30,20,0,0,775,3,11,2,8,8,0,0,0,0,0,0,1
5621,55,Middle-Aged,Graduate,Married,48752,Medium,1,1,8,0-30 days,73,57,100,71,15,0,316,5,6,1,5,9,0,0,0,0,0,0,1
10905,69,Middle-Aged,Graduate,Together,42586,Medium,1,1,7,0-30 days,194,2,56,0,0,0,252,5,4,1,6,8,0,0,0,0,0,0,1
8910,69,Middle-Aged,Graduate,Together,42586,Medium,1,1,7,0-30 days,194,2,56,0,0,0,252,5,4,1,6,8,0,0,0,0,0,0,1
6646,40,other,Graduate,Together,16529,other_income,1,0,23,0-30 days,3,0,5,13,0,1,22,1,1,0,3,6,0,0,0,0,0,0,0
891,73,other,non_graduate,Together,29298,other_income,1,1,60,31-60 days,6,0,2,2,0,1,11,1,1,0,2,5,0,0,0,0,0,0,0
3436,55,Middle-Aged,Graduate,Married,14045,other_income,1,0,24,0-30 days,11,0,5,2,1,1,20,1,1,0,3,7,0,0,0,0,0,0,0
